Floor,Total_Floor,District,Room_Size,BTS_Distance,Fitness,Swimming_Pool,Mall_Distance,Highway_Distance,Common_Price,Bedroom_No,Bathroom_No,Buid_Year,Room_Price
5,10,Ramindra,43,10,1,1,15,4,1200,1,1,2561,3000000
17,34,Samrong,35,0.1,1,1,0.1,1,1000,1,1,2561,2700000
6,7,Laksri,41,1,1,1,1,2,1200,1,1,2561,2800000
8,26,Phayathai,34,240,1,1,0.15,7.4,16320,1,1,2556,4480000
3,8,Sukhumvit,45,0.36,1,1,0.4,1.7,19440,1,1,2552,4900000
17,30,Phayathai,83,1.3,1,1,3.4,1,3320,2,2,2555,9900000
12,22,Phayathai,37,0.35,1,1,1.3,7,22200,1,1,2555,7900000
4,8,Pasicharoen,22.56,4.8,1,1,4.2,18,786,1,1,2559,1350000
8,30,Thonburi,33,1.1,1,1,0.9,7.9,1023,1,1,2557,2300000
28,30,Samutprakan,28.5,0.5,1,1,5.9,-,15660,1,1,2558,2750000
8,8,BangkokYai,28.46,2.7,1,1,2.9,8.5,360,1,1,2555,1650000
2,22,BangkokYai,27,2.2,1,1,2,5.3,1215,1,1,2559,2900000
10,22,BangkokYai,34,2.1,1,1,2,5.3,1530,1,1,2559,4491000
22,22,BangkokYai,63,2.1,1,1,2,5.3,2835,1,1,2559,6500000
11,33,Pasicharoen,34.5,6.7,1,1,1,6.7,15000,1,1,2558,2900000
6,33,Pasicharoen,51,6.7,1,1,1,10,15000,2,1,2558,3978400
8,8,Bangkhae,27,1,1,1,1.5,13,12312,1,1,2553,1500000
5,8,Bangkhae,30.5,1,1,1,1.5,13,13908,1,1,2553,1960000
7,18,Praram2,27,20,1,1,0.8,6.4,4000,1,1,2562,1800000
1,8,Pasicharoen,34,2,1,1,3,8,12000,1,1,2559,1800000
7,30,Pasicharoen,27.8,1.3,1,1,1.5,10.2,55,1,1,2561,2890000
3,8,Jatujak,22,1.1,1,1,3.8,4.8,1100,3,1,2561,1740000
4,8,Bangkhen,23,0.3,1,1,1.5,5.4,1035,1,1,2562,1590000
10,26,Pasicharoen,23,0.3,1,1,0.1,14.7,805,1,1,2559,2200000
3,8,Suangluang,26.5,2.3,1,1,0.9,5.1,1511,1,1,2562,1890000
